word,lemma,headword,part_of_speech,word_family_id,canonical_headword,family_role,forms,derived_forms,compound_forms,categories,register,meaning_en_simple,semantic_notes,related_words,opposites,common_collocations,raw_count_total,document_frequency_total,source_diversity,source_tables,form_counts,core_score,confidence,needs_human_review,review_reason
original,original,original,,original,original,base,original,,,ancient_ruins_memory,,first or earliest form of something,,ancient;primordial;forgotten,copy;imitation,,51,47,5,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,original:51,13.9512,0.5,True,low_confidence
chamber,chamber,chamber,,chamber,chamber,base,chamber,,,ancient_ruins_memory,,a room or space within a larger building or structure,,room;space;building;structure,open;exposed,,116,102,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,chamber:116,12.7622,0.8,False,
creation,creation,creation,,creation,creation,base,creation,,,ancient_ruins_memory,,the act or process of creating something new,,make;create;produce,,,85,84,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,creation:85,12.4543,0.9,False,
floor,floor,floor,,floor,floor,base,floor,,,ancient_ruins_memory,,"the lower surface of a room or building, especially one that is covered with a material such as wood or stone",,surface;material,,,72,72,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,floor:72,12.2905,0.8,False,
permanent,permanent,permanent,,permanent,permanent,base,permanent,,,ancient_ruins_memory,,lasting or continuing indefinitely,,lasting;enduring;perpetual,temporary;transitory;ephemeral,,8,8,5,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,permanent:8,12.1972,0.8,False,
statue,statue,statue,,statue,statue,base,statue,,,ancient_ruins_memory,,"a sculpture or monument representing a person, animal, or object",,sculpture;monument;memorial,,,54,51,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,statue:54,12.0073,1.0,False,
intact,intact,intact,,intact,intact,base,intact,,,ancient_ruins_memory,,"remaining complete or unbroken, with no parts missing",,complete;unbroken;entire,,,53,53,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,intact:53,11.989,1.0,False,
memories,memory,memories,,memory,memory,inflected_form,memories,,,ancient_ruins_memory,,recollections or recollections of past events or experiences,,recollection;experience;event,,,45,44,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,memories:45,11.8286,0.9,False,
mystery,mystery,mystery,,mystery,mystery,base,mystery,,,ancient_ruins_memory,,a puzzle or enigma that is difficult to understand or explain,,enigma;riddle;puzzle,clarity;certainty;understanding,,35,35,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,mystery:35,11.5835,0.7,True,low_confidence
tower,tower,tower,,tower,tower,base,tower,,,ancient_ruins_memory,,high or tall building,,building;high;tall,,,34,34,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,tower:34,11.5553,0.2,True,low_confidence
veil,veil,veil,,veil,veil,base,veil,,,ancient_ruins_memory,,cover or conceal something,,cover;conceal;something,,,34,33,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,veil:34,11.5553,0.1,True,low_confidence
cell,cell,cell,,cell,cell,base,cell,,,ancient_ruins_memory,,"a small room or enclosure, especially in a prison",,,,,31,25,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,cell:31,11.4657,1.0,False,
placeholder,placeholder,placeholder,,placeholder,placeholder,base,placeholder,,,ancient_ruins_memory,,a temporary or substitute item,,dummy;stand-in;proxy,original;genuine;authentic,,31,31,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,placeholder:31,11.4657,0.7,True,low_confidence
ruin,ruin,ruin,,ruin,ruin,base,ruin,,,ancient_ruins_memory,,a state of being completely destroyed or ruined,,destroy;ruined,,,29,29,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,ruin:29,11.4012,0.8,False,
hollow,hollow,hollow,,hollow,hollow,base,hollow,,,ancient_ruins_memory,,"a cavity or empty space, especially in a rock or tree",,cave;chamber;void,solid;full;complete,,27,26,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,hollow:27,11.3322,0.7,True,low_confidence
cinders,cinder,cinders,,cinder,cinder,inflected_form,cinders,,,ancient_ruins_memory,,small pieces of coal or wood that are left after something has been burned,,pieces;coal;wood;burned,,,22,20,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,cinders:22,11.1355,0.8,False,
cracks,crack,cracks,,crack,crack,inflected_form,cracks,,,ancient_ruins_memory,,"small breaks or splits in something, often caused by wear and tear",,breaks;splits;something;wear;tear,,,22,21,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,cracks:22,11.1355,0.8,False,
stored,stor,stored,,stor,stor,inflected_form,stored,,,ancient_ruins_memory,,"to keep or preserve something, possibly referring to a concept of memory or history in the game",,keep;preserve;uphold,lost;destroyed;corrupted,,22,22,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,stored:22,11.1355,0.8,False,
completion,completion,completion,,completion,completion,base,completion,,,ancient_ruins_memory,,the act of finishing or completing something,,finish;complete;achieve,failure;incompletion;abandonment,,15,15,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,completion:15,10.7726,0.9,False,
chromie,chromie,chromie,,chromie,chromie,base,chromie,,,ancient_ruins_memory,,a person or thing associated with the past,,past;history;antiquity,present;future;contemporary,,13,10,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,chromie:13,10.6391,0.6,True,low_confidence
fleeting,fleet,fleeting,,fleet,fleet,inflected_form,fleeting,,,ancient_ruins_memory,,lasting for a very short time,,transitory;ephemeral;momentary,permanent;enduring;lasting,,13,12,4,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounterSection,fleeting:13,10.6391,0.7,True,low_confidence
iris,iri,iris,,iri,iri,inflected_form,iris,,,ancient_ruins_memory,,a type of flower or a part of the eye,,flower;petal;eye,thistle;dandelion;weed,,13,11,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,iris:13,10.6391,0.6,True,low_confidence
jan'alai,jan'alai,jan'alai,,jan'alai,jan'alai,base,jan'alai,,,ancient_ruins_memory,,a person or thing associated with the past,,past;history;antiquity,present;future;contemporary,,13,10,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,jan'alai:13,10.6391,0.5,True,low_confidence
altered,alter,altered,,alter,alter,inflected_form,altered,,,ancient_ruins_memory,,"changed or modified in some way, often for the worse",,changed;modified;transformed,,,12,12,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,altered:12,10.5649,1.0,False,
impenetrable,impenetrable,impenetrable,,impenetrable,impenetrable,base,impenetrable,,,ancient_ruins_memory,,"difficult or impossible to enter, understand, or penetrate",,inaccessible;unapproachable;impregnable,,,12,12,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,impenetrable:12,10.5649,1.0,False,
malfunctioning,malfunction,malfunctioning,,malfunction,malfunction,inflected_form,malfunctioning,,,ancient_ruins_memory,,"not functioning or working properly, often due to a fault or defect",,faulty;defective;non-functional,,,12,12,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,malfunctioning:12,10.5649,1.0,False,
